DATE,VES,KRW,JPY
2020-08-01,257867.03,1192.25,105.65
2020-08-02,258634.41,1193.46,105.74
2020-08-03,257877.76,1188.78,105.68
2020-08-04,258700.18,1193.12,105.76
2020-08-05,258144.57,1183.36,105.36
2020-08-06,264943.98,1182.39,105.34
2020-08-07,270498.16,1188.05,105.83
2020-08-08,270498.16,1188.06,105.84
2020-08-09,270149.43,1186.78,105.7
2020-08-10,271658.09,1190.45,106.32
2020-08-11,284794.21,1190.42,106.87
2020-08-12,283447.81,1182.43,106.77
2020-08-13,284096.07,1186.86,107.12
2020-08-14,284696.25,1191.31,106.97
2020-08-15,284695.08,1191.31,106.97
2020-08-16,277680.64,1191.25,106.97
2020-08-17,289240.74,1181.36,105.8
2020-08-18,293043.6,1187.66,105.71
2020-08-19,290979.03,1177.39,105.55
2020-08-20,291318.73,1181.86,105.44
2020-08-21,292055.58,1191.76,105.77
2020-08-22,298683.07,1191.71,105.76
2020-08-23,298855.42,1191.92,105.9
2020-08-24,299069.84,1188.43,105.91
2020-08-25,300933.53,1190.88,106.66
2020-08-26,303443.94,1188.58,106.21
2020-08-27,304861.85,1189.64,106.78
2020-08-28,308520.21,1181.11,105.4
2020-08-29,308520.21,1181.11,105.4
2020-08-30,308614.8,1181.47,105.73
2020-08-31,309353.39,1191.82,106.21
2020-09-01,310431.27,1187.36,106.09
2020-09-02,309660.03,1185.06,105.8
2020-09-03,335843.15,1196.51,106.58
2020-09-04,339445.08,1191.25,106.58
2020-09-05,339445.08,1191.25,106.58
2020-09-06,339543.15,1191.5,106.64
2020-09-07,338845.92,1189.46,106.45
2020-09-08,337437.8,1186.93,105.69
2020-09-09,338646.45,1185.82,106.28
2020-09-10,339164.9,1190.97,106.42
2020-09-11,361777.42,1192.58,106.57
2020-09-12,361835.46,1192.77,106.58
2020-09-13,361790.15,1192.62,106.53
2020-09-14,361864.89,1178.61,105.45
2020-09-15,364236.53,1185.11,105.85
2020-09-16,363244.25,1174.67,105.14
2020-09-17,361308,1165.08,104.31
2020-09-18,339521.43,1168.92,104.92
2020-09-19,339540.06,1168.98,104.92
2020-09-20,375355.69,1169.8,104.93
2020-09-21,373720.55,1161.42,104.37
2020-09-22,375264.86,1164.45,105.03
2020-09-23,373841.03,1167.02,105.01
2020-09-24,374207.93,1167.06,105.19
2020-09-25,392561.57,1177.58,105.87
2020-09-26,392580.13,1177.64,105.88
2020-09-27,400174.62,1177.75,105.87
2020-09-28,412885.65,1164.38,105.26
2020-09-29,422482.77,1173.33,106.06
2020-09-30,431251.98,1167.86,105.7
2020-10-01,437603.32,1167.45,105.97
2020-10-02,438436.56,1168.03,105.49
2020-10-03,438442.17,1168.05,105.49
2020-10-04,438369.21,1167.86,105.65
2020-10-05,437194.53,1156,105.67
2020-10-06,438646.44,1168.37,105.93
2020-10-07,436021.72,1154.46,105.69
2020-10-08,439981.24,1147.87,105.69
2020-10-09,442241.42,1146.48,105.88
2020-10-10,442299.34,1146.64,105.89
2020-10-11,450143.21,1145.22,105.8
2020-10-12,450034.3,1149.78,105.47
2020-10-13,451177.28,1153.2,105.87
2020-10-14,451950.49,1151.56,105.58
2020-10-15,450525.61,1145.91,105.44
2020-10-16,450925.55,1143.82,105.57
2020-10-17,450869.21,1143.68,105.56
2020-10-18,450869.85,1143.38,105.52
2020-10-19,451172.79,1136.91,105.18
2020-10-20,455723.66,1142.21,105.74
2020-10-21,454933.4,1129.29,104.22
2020-10-22,457539.75,1137.42,105.09
2020-10-23,457851.92,1124.68,104.35
2020-10-24,457936.87,1124.89,104.38
2020-10-25,461023.48,1132.47,105.08
2020-10-26,464171.73,1133.43,104.95
2020-10-27,463124.12,1127.69,104.34
2020-10-28,465819.29,1140.12,104.74
2020-10-29,486447.61,1127.78,104.35
2020-10-30,504988.62,1134.22,104.44
2020-10-31,505078.43,1134.43,104.45
2020-11-01,520264.95,1141,105.04
2020-11-02,520097.91,1137.22,105.12
2020-11-03,517937,1134.23,104.85
2020-11-04,517654.99,1132.91,104.7
2020-11-05,518912.18,1125.87,103.82
2020-11-06,516759.69,1119.45,103.14
2020-11-07,516770.58,1119.48,103.14
2020-11-08,526075.58,1120.73,103.19
2020-11-09,535735.67,1121.43,105.42
2020-11-10,535803.03,1119.23,105.43
2020-11-11,534085.74,1110.64,105.23
2020-11-12,535408.29,1115.95,105.19
2020-11-13,536722.44,1111.48,104.93
2020-11-14,536722.44,1111.99,104.95
2020-11-15,536810.86,1111.55,104.98
2020-11-16,643138.76,1103.33,104.19
2020-11-17,668553.39,1102.59,103.87
2020-11-18,667951.85,1102.48,103.4
2020-11-19,707523.7,1111.61,103.53
2020-11-20,707238.21,1111.07,103.49
2020-11-21,707246.97,1111.08,103.49
2020-11-22,707078.17,1111.17,103.46
2020-11-23,783771.12,1117.89,104.85
2020-11-24,780671.35,1110.09,104.42
2020-11-25,917776.09,1107.97,104.59
2020-11-26,925955.27,1107.53,104.35
2020-11-27,922284.93,1101.63,103.79
2020-11-28,969330.73,1101.69,103.8
2020-11-29,969638.2,1102.04,103.78
2020-11-30,918344.8,1112.87,104.62
2020-12-01,908467.16,1103.89,104.08
2020-12-02,896737.71,1101.59,104.55
2020-12-03,899020.93,1096.31,104.23
2020-12-04,935423.26,1085.93,104.39
2020-12-05,935423.26,1085.93,104.39
2020-12-06,935779.73,1086.35,104.42
2020-12-07,934453.01,1085.64,104.13
2020-12-08,931695.84,1086.4,104.21
2020-12-09,929741.79,1085.62,104.12
2020-12-10,1088685.01,1091.12,104.6
2020-12-11,1084024.81,1092.83,104.11
