gender,height,hand_size,foot_size
1,166.7,180,260
1,165.6,179,263
1,172.9,188,240
0,168.5,182,243
0,160.2,175,234
0,164.2,176,247
0,158.9,158,238
0,153.1,164,227
0,153.8,161,220
0,163.2,163,232
0,165.1,171,245
0,174.5,187,254
0,153.2,167,229
0,158.4,170,226
0,158.1,161,222
1,171.5,183,258
1,164.6,173,235
1,175.7,185,247
1,174.4,186,261
1,169.8,177,253
1,166.9,171,232
1,173.1,178,239
1,171.3,188,255
0,156.5,167,234
0,167.2,168,226
0,157.8,170,228
0,156.1,161,220
0,163.1,180,230
0,161.2,170,236
0,161.7,173,237
0,166.9,171,233
0,162.8,167,223
0,159.6,179,236
0,163.9,177,246
0,169.0,181,258
0,153.0,158,218
0,170.9,178,239
0,159.1,175,237
0,168.5,181,250
0,161.7,173,239
0,169.9,174,243
0,157.6,172,232
0,167.7,172,237
0,158.6,172,238
0,162.2,172,238
0,156.5,166,218
0,159.1,172,227
0,164.8,174,226
0,165.7,173,238
0,166.0,173,238
0,160.6,168,234
0,154.0,161,222
0,155.5,169,230
0,169.3,181,246
0,163.8,182,250
0,160.8,171,237
0,162.5,166,222
0,153.5,153,213
0,161.0,172,240
0,160.5,160,224
0,154.6,169,223
0,156.4,163,233
0,158.5,168,237
0,160.0,162,230
0,154.0,170,228
0,177.0,197,263
0,162.7,173,231
0,159.2,169,222
0,165.9,182,249
0,153.6,162,229
1,170.4,188,254
1,164.0,165,230
1,172.8,173,243
1,172.2,185,262
1,175.7,191,256
1,178.8,185,255
1,170.0,182,250
1,175.2,176,246
1,173.6,190,264
1,176.4,184,256
1,177.5,182,250
1,173.4,186,250
1,177.1,184,259
1,172.0,172,250
1,178.1,192,268
1,175.1,182,243
1,166.4,176,257
1,169.1,178,250
1,179.0,189,254
1,172.0,181,247
1,183.7,191,268
1,172.5,178,249
1,183.0,184,265
1,178.6,186,257
1,184.1,193,267
1,172.7,181,260
1,168.4,185,248
0,162.1,173,234
0,161.1,170,231
0,160.0,165,223
0,159.9,173,233
0,163.7,167,233
0,158.6,167,224
0,152.1,153,206
0,160.3,171,234
0,170.2,174,251
0,171.1,185,247
0,164.0,170,232
0,166.6,170,233
