height,foot_size
166.7,260
165.6,263
172.9,240
168.5,243
160.2,234
164.2,247
158.9,238
153.1,227
153.8,220
163.2,232
165.1,245
174.5,254
153.2,229
158.4,226
158.1,222
171.5,258
164.6,235
175.7,247
174.4,261
169.8,253
166.9,232
173.1,239
171.3,255
156.5,234
167.2,226
157.8,228
156.1,220
163.1,230
161.2,236
161.7,237
166.9,233
162.8,223
159.6,236
163.9,246
169.0,258
153.0,218
170.9,239
159.1,237
168.5,250
161.7,239
169.9,243
157.6,232
167.7,237
158.6,238
162.2,238
156.5,218
159.1,227
164.8,226
165.7,238
166.0,238
160.6,234
154.0,222
155.5,230
169.3,246
163.8,250
160.8,237
162.5,222
153.5,213
161.0,240
160.5,224
154.6,223
156.4,233
158.5,237
160.0,230
154.0,228
177.0,263
162.7,231
159.2,222
165.9,249
153.6,229
170.4,254
164.0,230
172.8,243
172.2,262
175.7,256
178.8,255
170.0,250
175.2,246
173.6,264
176.4,256
177.5,250
173.4,250
177.1,259
172.0,250
178.1,268
175.1,243
166.4,257
169.1,250
179.0,254
172.0,247
183.7,268
172.5,249
183.0,265
178.6,257
184.1,267
172.7,260
168.4,248
162.1,234
161.1,231
160.0,223
159.9,233
163.7,233
158.6,224
152.1,206
160.3,234
170.2,251
171.1,247
164.0,232
166.6,233
163.7,238
154.2,226
161.2,236
155.8,216
162.2,232
160.7,228
167.9,233
155.1,226
166.8,239
167.4,227
167.2,224
163.8,243
158.1,235
162.8,236
163.6,220
153.1,210
170.0,248
162.9,222
156.7,213
169.7,241
158.2,227
148.5,198
164.4,233
170.4,250
170.1,251
163.4,240
161.5,238
160.2,225
164.8,247
161.2,235
168.3,238
168.5,231
167.7,249
159.0,225
163.3,226
169.8,242
158.2,227
157.0,224
166.6,244
160.4,217
165.1,231
163.5,236
163.1,240
158.2,232
164.5,250
170.6,243
164.5,236
158.1,226
157.5,238
169.6,238
156.9,208
153.9,234
172.7,252
157.2,214
165.2,236
161.6,240
161.8,222
155.3,208
160.0,227
174.2,255
185.0,268
172.6,257
178.3,262
173.7,258
174.9,257
163.8,238
177.6,257
177.6,254
160.1,234
181.0,271
176.1,257
180.6,273
167.4,241
178.5,252
175.6,267
185.3,275
179.5,248
182.0,269
182.0,268
180.4,269
173.7,252
175.9,265
176.4,261
173.3,270
181.8,280
171.3,242
166.5,230
167.4,242
173.3,250
177.2,243
176.1,250
168.2,243
175.9,252
183.1,272
174.0,256
183.3,256
169.5,246
165.0,253
185.6,258
156.9,232
167.7,240
170.0,233
173.8,256
177.1,261
172.8,260
178.0,251
174.8,261
175.1,253
176.5,268
175.8,246
177.2,272
182.7,268
178.8,270
179.0,255
173.5,245
174.6,266
154.7,230
163.8,233
160.6,235
157.7,229
155.4,219
170.3,257
166.2,244
160.9,221
154.9,224
159.0,226
158.3,226
161.8,231
152.4,225
164.1,226
166.5,238
161.4,237
158.5,224
162.7,248
165.6,247
156.7,234
164.5,228
164.1,229
157.5,225
167.2,249
158.5,231
158.1,226
152.2,224
164.9,240
153.0,211
155.4,224
165.4,240
169.7,250
169.0,240
151.4,218
152.5,211
159.7,230
159.5,233
161.2,235
164.9,239
154.8,227
164.6,240
172.1,238
161.9,230
159.3,241
160.0,229
161.2,222
166.0,234
160.3,228
164.9,231
163.5,234
160.7,225
158.6,222
153.8,218
158.9,217
153.7,220
167.4,250
163.0,240
157.2,218
160.5,238
152.2,215
156.2,230
158.3,223
172.6,234
172.5,245
160.8,237
164.9,240
156.0,226
158.0,232
159.5,225
150.2,209
162.7,234
159.4,240
169.9,233
167.8,243
160.1,242
156.8,234
161.2,235
159.1,225
157.8,229
164.4,232
161.9,223
163.1,235
157.2,226
162.4,240
156.0,222
159.4,225
160.2,228
158.9,227
159.0,237
161.1,240
157.7,227
156.0,229
167.0,238
165.5,235
164.8,251
176.5,257
177.1,258
163.4,242
167.3,245
174.6,246
171.1,239
174.0,256
174.7,258
173.2,253
171.5,244
186.1,262
168.9,248
162.1,227
176.1,266
176.5,247
172.0,250
166.0,243
174.7,251
178.4,252
176.6,250
183.0,281
166.4,249
171.8,248
176.3,252
176.6,270
182.8,264
166.0,238
185.2,257
167.3,253
184.1,268
170.7,263
175.8,254
169.3,256
170.3,242
166.5,238
170.9,252
178.6,254
176.5,254
169.2,249
178.9,254
176.8,265
174.4,248
166.4,237
173.4,250
187.7,268
166.8,253
175.8,253
173.6,252
176.9,263
174.1,252
174.4,258
169.6,253
179.0,243
173.6,242
167.1,246
169.1,248
176.4,264
171.2,240
177.9,267
162.2,225
156.7,229
164.7,236
163.2,218
164.7,237
171.5,244
162.9,243
167.6,244
159.4,213
181.0,201
163.6,236
162.7,233
156.4,231
168.1,247
157.0,223
154.5,214
177.2,243
168.7,238
151.9,211
171.2,261
159.9,237
164.1,237
166.1,239
154.6,211
161.0,232
150.8,221
174.7,237
161.0,240
152.9,224
157.8,235
171.0,236
159.5,245
161.0,224
158.4,236
161.8,243
159.4,242
159.0,225
158.8,218
163.5,248
166.5,238
168.2,243
155.5,236
167.7,226
163.6,248
159.5,232
150.8,217
157.5,220
176.1,235
158.5,226
167.7,237
153.3,208
162.5,242
158.2,222
167.0,228
170.1,256
166.6,241
172.1,249
162.0,219
167.1,252
159.7,230
158.1,230
159.9,229
154.3,223
161.5,231
162.0,233
158.5,221
168.0,250
152.4,214
153.8,226
154.5,225
161.0,227
156.9,221
159.7,232
160.9,225
161.6,234
161.8,236
163.3,246
151.6,211
163.7,231
167.8,236
162.5,235
163.3,228
162.2,238
154.8,231
152.1,225
159.4,220
165.6,234
158.2,219
155.1,223
167.3,235
159.1,226
167.4,244
161.4,242
160.7,226
161.9,230
158.6,212
184.2,271
175.6,248
173.1,255
170.1,252
185.1,258
170.3,253
179.5,262
184.3,256
167.9,228
177.7,245
175.4,261
171.5,245
171.0,265
177.0,251
178.1,253
173.2,258
179.4,263
173.7,253
191.0,272
174.1,250
168.1,248
181.0,269
180.9,267
184.4,260
169.1,242
174.5,251
182.9,263
167.8,242
181.9,268
182.6,274
170.6,260
176.2,243
158.6,232
177.4,262
179.9,257
172.4,255
163.5,246
179.4,269
191.0,272
164.0,256
173.0,253
172.6,255
174.3,259
176.9,264
180.3,259
181.9,268
169.5,251
176.5,251
174.9,259
175.0,256
171.1,246
169.2,242
181.7,267
172.6,248
161.3,234
185.4,258
172.0,255
182.9,261
180.0,247
173.0,248
171.3,245
187.3,267
173.6,258
180.9,266
176.1,250
162.6,240
171.4,253
178.3,267
173.5,254
164.2,240
173.1,245
166.7,265
176.4,255
171.9,253
177.5,250
169.6,254
171.1,252
178.2,256
176.0,266
174.9,259
159.2,228
160.9,223
164.8,232
155.6,226
164.1,254
159.6,227
164.8,236
166.5,230
162.1,230
164.4,233
148.1,211
156.5,219
165.7,236
158.6,227
157.1,235
162.4,233
162.2,236
163.7,225
161.2,222
158.6,226
164.6,234
167.8,249
156.9,213
162.6,237
159.3,226
161.7,244
164.2,227
157.0,226
165.5,231
162.4,231
163.4,226
164.1,243
167.9,234
149.8,193
162.7,222
157.6,227
155.1,228
153.7,218
162.8,223
167.6,239
155.6,223
169.7,230
162.4,232
155.6,218
162.0,221
159.3,221
